DATAFLOW,FREQ,INDICATOR,GEO_PICT,SEX,AGE,URBANIZATION,INCOME,EDUCATION,OCCUPATION,COMPOSITE_BREAKDOWN,DISABILITY,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,REPORTING_TYPE,NATURE,DATA_SOURCE,OBS_STATUS,OBS_COMMENT,source_file
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,M,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2015,60.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,M,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2018,35.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,_T,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2012,54.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,_T,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2015,49.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,_T,_T,_T,_T,1_y4,_T,SKILL_MIN_LTRCY,_T,2018,50.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,F,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2015,77.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,F,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2018,88.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2012,82.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2015,69.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2018,62.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,_T,_T,_T,_T,1_y6,_T,SKILL_MIN_LTRCY,_T,2021,90.0,PERCENT,R,C,"Pacific Islands Literacy and Numeracy Assessment (PILNA), 2021 Assessment.",,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,M,_T,_T,_T,1_y4,_T,SKILL_MIN_NMRCY,_T,2015,80.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,M,_T,_T,_T,1_y4,_T,SKILL_MIN_NMRCY,_T,2018,67.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,M,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2015,58.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
SPC:DF_BP50_2(1.0),A,SE_TOT_PRFL,NU,M,_T,_T,_T,1_y6,_T,SKILL_MIN_NMRCY,_T,2018,48.0,PERCENT,R,C,Pacific Islands Literacy and Numeracy Assessment (PILNA). ,,,NU.csv
